id,name,symbol,dedust,stonfi
EQAyLHRMAwqK-OUX8Qi39GdxLY9zJlS0kIBsJxlSWJ3-KZJq,,,True,True
EQBEZoIdYogx1Ay4D_Im-BUwJelZpn6Mvced9lhJpR2Om3Ee,,,True,False
EQD7VQfocRjO8kekM99ObBFb6oLLKN3qa4-49cfnRhds4VCN,,,True,False
EQAhRC_oZ4B9VgMltfNkENSdLktlMADPE73zIiIcL6es2o7-,TON Drift,DRIFT,True,True
EQBWmDc4Ae8P-vGbV_pEFEI1YDjyzlkg_EUNXkBWQbrNV6FT,,,True,True
EQCuqG8UzTZh7UM0FRABSU1AcetlXnkLwAj4wzsBPhyYEU55,,,True,False
EQAmF7KH2DoIOM8EMeknuBw6WWT5PWeLR9vqRpZdy9i8u8pD,,,True,False
EQDtOCPQI3PntPKXe-7sCrp0i2r_VTbopYstLcgWxKnCNhx-,,,True,False
EQALkqobrNDkB8e9M82xIDbP9aYLKbvPxAgkBjEOgPnxrMhI,,,True,False
EQCc7h2ISSSNZ_IfvM0kwtLULgxgfqAXIlOVU04GO1O_ESj9,,,True,False
EQAzhQfnqeo21TxZJSCaAdJ8Gkmud826-H9nHqxJ3BHVDxqg,,,True,False
EQBbJeMiqIyqx1ElPrIkxZxcWgoInmyzklA_8c-sMi-M-fWw,,,True,False
EQANVVMZAwLSEuPL666k_UZmeC90rgoE1WIlHC5kSmmAFFAC,,,True,False
EQBsKCVJDuh-OuRI_UkyeiBto2SyBRReQF0vUS1BPQFKb_xI,,,True,False
EQBk6Zr9qiSwGeUdG6Kg_VX4PQ-IDsbE9BVXJKz8glucJ0zH,,,True,True
EQDyJn-Npv48XfRRZ6MpeLdYYs7tGyL3HpUNsuNDERym9NQz,,,True,False
EQCyDhcASwIm8-eVVTzMEESYAeQ7ettasfuGXUG1tkDwVJbc,Lucky TON,LKY,True,True
EQBmo3C48satXOjEub-HLaWqQLp6yQ7D6uT5zP-YqfN_LWBG,,,True,False
EQCbLaFBJFkK3KcBoCt0Ve076tXgddKN5VWwXW_ulIU67PQy,,,True,True
EQCJbp0kBpPwPoBG-U5C-cWfP_jnksvotGfArPF50Q9Qiv9h,Ton Raffles Token,RAFF,True,True
EQCRomhO7dGsq-P0A6Ktb5ZeEkODS6kMj5pydZlmv0s_iESO,,,True,False
EQAkPL1SEkrXla-naDYvNiVF-M7SiWSIAAnNPJlrLXoz85mB,,,True,False
EQAiku6mxJ9omj0AZDSTqCcrMtqWAUk-xW41J26160FZKirN,,,True,False
EQDxYk2zRjv-8hbEQYyVxA6hZdcmjegRaZ34EIIr0H5Mc3IJ,,,True,True
EQAYotE9_zlatj4dp6F0v0pyqO0Jxvh54HzpiVPVvCw3v2hF,,,True,False
EQBlQ4D60sg-HkIyZVYIDdexEm5Ry9c0fkx46FbwzqZJpg1t,,,True,False
EQAomPjtyWPaDAM7uMsv62CFI9wF_RV-RZtdyPgJ2qWLObm4,,,True,False
EQD8R1aFc0BRLHEmlEfGM7c-lu0akWlgk0KwnecplgXouHZg,,,True,False
