source,target,label
0,2025,-23.208700620231756
0,2705,
0,8801,-42.6643669209628
0,8905,-23.756170033308354
0,4307,-4.992143152281902
0,1743,-11.530748946739994
0,1513,-14.227941786436736
0,4637,-9.700439718141093
0,6716,
0,5084,-6.593835416977178
0,8918,-22.388269031548365
0,9118,-33.213498596424465
0,9113,-9.372865060112588
0,8008,-9.282558848116048
0,4964,-11.140190703191836
0,9191,19.435906222246413
0,2377,-21.709130874582705
0,3421,18.55157684759928
0,2539,-11.600250125366188
0,9236,-5.471304610074878
0,9240,-9.306034518267602
0,1145,-2.402637887264306
0,6826,-8.422064766172813
0,4370,-25.94418469005053
0,172,-11.41808643149336
0,7190,-9.113742166049189
0,9331,-9.997179480937621
0,8780,
0,1804,3.0251459580560542
0,2924,-9.60733031374961
0,7514,-26.0075232278982
0,740,-4.7609451591737315
0,967,-10.494511203855332
0,9420,-9.967226258835993
0,657,12.880483885863644
0,5925,-5.51306958223937
0,1111,3.321928094887362
0,2517,-17.434536976105786
0,9495,-8.991521846075695
0,82,-11.694882121295532
0,9522,-9.965784284662087
0,9547,-14.111133045647453
0,377,-6.154164443352048
0,585,7.373140741345806
0,2114,-20.40337248314991
0,9250,9.965784284662087
0,3520,-43.83882031295792
0,9716,12.733422646153937
0,8634,13.574967654683933
0,8831,-14.070477836989937
0,5145,-21.803239650969356
0,985,19.925787665218436
0,8293,4.959013067625576
0,980,21.188001994067452
0,2726,-9.562328537176647
0,9819,-29.891570502840743
0,4054,13.872674880270605
0,2632,-22.72204826149771
0,211,-15.321023828062415
0,153,-8.6252950321784
0,63,0.19530966544391057
0,9968,15.177899816435621
0,2261,-11.636342914082336
0,10005,-8.176709658959927
0,10034,-28.363700764444907
0,9249,-14.52835283439466
0,5633,15.289504926127682
0,13,-14.418886208679016
0,1843,-19.731727714830466
0,7609,0.43007751701443964
0,111,-18.19908758828759
0,1019,-10.81014866012975
0,7073,
0,2440,-13.410252604023276
0,10221,-9.840777923595054
0,6060,-2.537965021183987
0,8683,1.7744493417185152
0,2176,
0,8248,-23.82521027450001
0,1144,-18.14682178109582
0,2235,-26.211089081943577
0,7869,-3.1584790276199723
0,2115,1.7102403489923368
0,9399,-0.923005559020977
0,9594,-16.910817348653463
0,1979,-16.084413254186497
0,10333,-4.497107081758965
0,389,9.984286366008261
0,624,-42.48578367230398
0,2555,-2.6459144515110746
0,275,-20.176988614043363
0,4417,-16.686397563689944
0,7962,15.189105908802281
0,374,-8.04872018493485
0,7636,-9.479780264029099
0,4566,-8.668884984266247
0,2110,-10.600842114387302
0,4151,12.796517684602456
0,3398,-16.08310042087291
0,5898,10.014020470314934
0,5610,-21.817918182082824
0,7244,-8.451211111832329
0,8274,-9.703903573444663
0,247,-3.6100224383683686
0,8039,0.01499682234135413
0,5024,-7.68190316637502
0,726,-32.48473960108386
